record_id,timestamp,warehouse_id,zone_id,rack_id,product_id,rfid_read_count,inventory_level,inventory_movement,incoming_items,outgoing_items,inventory_accuracy_pct,forecasted_demand,storage_utilization_pct,storage_allocation_score,available_storage_space_pct,order_queue_length,order_picking_time_min,packing_time_min,order_completion_time_min,conveyor_speed_mps,conveyor_vibration_mmps,motor_temperature_c,equipment_load_pct,energy_consumption_kwh,machine_runtime_hr,sensor_battery_pct,equipment_health_index,maintenance_alert,worker_count,worker_movement_index,forklift_count,forklift_utilization_pct,congestion_level_pct,obstacle_detection,safety_compliance_pct,warehouse_activity_score,temperature_c,humidity_pct,air_quality_index,dust_level_ugm3,lighting_lux,noise_level_db,predicted_equipment_failure,resource_utilization_pct,warehouse_operation_status
1,2024-10-09 09:53:00,WH_10,Zone_C,RACK_074,PROD_00197,45,674,62,6,70,92.45,162,84.77,87.07,53.64,11,11.24,2.41,15.31,1.27,3.35,64.29,77.28,690.15,12.97,58.69,67.52,Yes,53,0.84,14,47.22,15.55,Not Detected,73.07,44.19,23.74,48.76,87,49.39,770,67.17,0.973,68.93,Optimized
2,2024-05-15 04:15:00,WH_09,Zone_E,RACK_034,PROD_00599,229,66,121,74,20,98.55,123,65.53,78.14,50.21,20,7.61,4.72,15.2,3.32,3.6,67.64,33.69,714.34,8.1,53.46,99.53,Yes,48,0.46,2,38.32,3.21,Not Detected,82.03,15.96,32.61,57.69,100,16.69,811,58.74,0.915,72.94,Optimized
3,2024-11-23 16:38:00,WH_04,Zone_B,RACK_048,PROD_00166,286,617,209,92,56,99.97,161,72.51,63.64,3.78,14,4.02,4.08,13.86,2.33,2.18,66.71,57.44,298.73,15.51,95.68,85.61,Yes,48,0.91,9,81.49,34.02,Not Detected,83.04,50.84,33.26,70.03,87,58.45,482,65.46,0.106,81.27,Optimized
4,2024-10-28 07:00:00,WH_02,Zone_F,RACK_008,PROD_00235,44,817,276,0,153,93.24,39,51.04,74.52,59.13,39,5.45,5.13,15.55,0.83,4.05,82.12,98.24,543.45,7.39,74.48,97.61,Yes,21,0.62,14,97.15,92.89,Detected,91.39,45.91,28.75,49.94,135,11.66,530,38.84,0.021,77.7,Optimized
5,2024-01-08 02:59:00,WH_04,Zone_B,RACK_053,PROD_00498,256,52,174,18,131,92.38,705,71.21,81.57,43.68,60,5.51,8.15,17.51,0.87,3.66,49.8,52.89,831.54,6.03,74.01,84.08,Yes,30,0.78,4,39.89,19.02,Not Detected,74.21,26.51,25.4,69.98,39,29.37,863,40.87,0.652,77.03,Optimized
6,2024-08-02 21:37:00,WH_10,Zone_E,RACK_041,PROD_00268,114,238,210,15,42,93.79,419,59.32,91.36,27.85,54,12.99,11.5,30.97,2.52,2.73,38.29,37.42,130.88,18.98,29.57,69.11,Yes,42,0.58,17,32.59,96.08,Detected,95.54,16.17,19.09,69.47,123,11.59,883,49.77,0.595,80.97,Optimized
7,2024-04-17 22:21:00,WH_04,Zone_F,RACK_034,PROD_00518,260,705,165,61,67,93.96,707,79.86,78.29,55.81,9,1.65,10.08,16.67,0.89,3.0,60.41,30.6,383.64,6.31,43.32,67.82,No,58,0.63,10,68.93,98.72,Detected,90.04,59.91,32.91,39.14,54,19.55,409,79.55,0.155,64.09,Optimized
8,2024-03-31 13:01:00,WH_03,Zone_F,RACK_043,PROD_00422,137,277,31,23,162,94.24,303,47.38,73.34,8.72,33,4.17,7.74,17.85,2.23,0.7,91.15,75.28,209.68,5.68,52.69,79.86,No,13,0.23,12,91.92,79.61,Detected,96.97,28.91,21.99,39.11,124,58.56,458,90.55,0.237,58.13,Optimized
9,2024-01-23 22:27:00,WH_01,Zone_E,RACK_069,PROD_00202,196,293,86,179,27,93.83,59,91.36,68.9,49.18,58,7.27,12.67,27.04,1.25,3.66,52.89,42.29,140.4,19.69,51.34,77.92,No,6,0.29,9,34.29,96.25,Not Detected,71.15,63.69,23.53,66.46,131,38.34,823,41.94,0.9,59.5,Optimized
10,2024-04-30 21:19:00,WH_04,Zone_B,RACK_019,PROD_00026,33,461,40,170,84,96.23,699,90.79,88.79,18.72,39,12.5,6.24,24.62,2.21,1.14,71.55,50.33,730.88,8.31,67.68,73.27,Yes,24,0.43,14,82.86,60.67,Not Detected,83.95,49.79,21.42,53.93,63,41.24,590,65.93,0.633,66.76,Optimized
