Timestamp,Warehouse_ID,Section_ID,Shelf_ID,Product_ID,RFID_Tag_ID,Current_Stock_Level,Stock_Capacity,Temperature_C,Humidity_%,Order_ID,Order_Quantity,Order_Fulfillment_Time_sec,Picking_Route_ID,Agent_ID,Transport_Delay_sec,Actual_Demand,Target
2024-01-01 00:00:00,W1,A01,S30,P182,T62187,111,165,26.57,53.18,O5558,48,39,R015,Agt047,80,67,0
2024-01-01 00:10:00,W3,A07,S24,P118,T58556,39,265,18.8,47.08,O8416,35,370,R043,Agt027,77,106,1
2024-01-01 00:20:00,W2,A12,S06,P102,T51632,65,253,26.55,41.96,O3927,25,30,R009,Agt037,28,77,1
2024-01-01 00:30:00,W3,A08,S17,P123,T58799,30,160,22.51,55.77,O8171,33,349,R038,Agt053,13,88,1
2024-01-01 00:40:00,W2,A08,S04,P150,T95738,163,158,22.58,67.92,O3360,19,287,R006,Agt075,26,94,0
2024-01-01 00:50:00,W3,A19,S25,P152,T85215,72,204,20.81,59.54,O3670,25,298,R023,Agt006,74,24,0
2024-01-01 01:00:00,W1,A19,S24,P172,T62701,27,215,22.84,55.58,O2715,13,255,R025,Agt041,71,45,1
2024-01-01 01:10:00,W3,A12,S18,P184,T22479,112,293,23.17,45.37,O8416,16,329,R038,Agt085,116,54,0
2024-01-01 01:20:00,W1,A20,S26,P154,T64946,46,249,24.17,36.67,O7081,34,302,R028,Agt060,37,104,1
2024-01-01 01:30:00,W1,A18,S06,P106,T92295,127,182,20.8,62.4,O4412,22,455,R012,Agt026,43,101,0
2024-01-01 01:40:00,W1,A20,S07,P101,T80597,88,220,22.06,36.24,O5081,30,482,R024,Agt086,105,25,0
2024-01-01 01:50:00,W3,A09,S23,P189,T95314,86,243,24.15,41.3,O2320,4,478,R017,Agt086,5,89,1
2024-01-01 02:00:00,W2,A19,S17,P196,T82035,76,263,24.26,49.0,O3950,40,330,R036,Agt066,54,107,1
2024-01-01 02:10:00,W2,A12,S06,P164,T72272,18,210,27.28,60.43,O4220,7,418,R022,Agt007,103,94,1
2024-01-01 02:20:00,W1,A14,S11,P130,T21474,38,291,25.23,53.79,O2628,24,223,R027,Agt086,23,38,0
2024-01-01 02:30:00,W2,A16,S26,P151,T58851,13,265,19.52,43.04,O2819,46,47,R026,Agt066,97,27,1
